day,timestamp,S,sigma,product,strike,market_mid,model_price,residual
1,0,5245.0,0.32166189111747856,VEV_4000,4000,1245.0,1245.0,0.0
1,0,5245.0,0.32166189111747856,VEV_4500,4500,745.0,745.0000889931271,-8.899312706489582e-05
1,0,5245.0,0.32166189111747856,VEV_5000,5000,251.0,251.04051955884188,-0.04051955884187919
1,0,5245.0,0.32166189111747856,VEV_5100,5100,165.0,164.75862127792197,0.24137872207802502
1,0,5245.0,0.32166189111747856,VEV_5200,5200,95.5,94.93793762839096,0.5620623716090449
1,0,5245.0,0.32166189111747856,VEV_5300,5300,47.0,46.696712095571,0.30328790442899844
1,0,5245.0,0.32166189111747856,VEV_5400,5400,16.5,19.18383472114806,-2.6838347211480595
1,0,5245.0,0.32166189111747856,VEV_5500,5500,7.5,6.489012864113931,1.0109871358860687
1,0,5245.0,0.32166189111747856,VEV_6000,6000,0.5,0.0013870364537918178,0.4986129635462082
1,0,5245.0,0.32166189111747856,VEV_6500,6500,0.5,2.772046011488971e-09,0.49999999722795396
1,2500,5251.5,0.32166189111747856,VEV_4000,4000,1251.5,1251.5000000000005,-4.547473508864641e-13
1,2500,5251.5,0.32166189111747856,VEV_4500,4500,751.0,751.500074205559,-0.5000742055590308
1,2500,5251.5,0.32166189111747856,VEV_5000,5000,257.0,257.06780262142,-0.06780262142001448
1,2500,5251.5,0.32166189111747856,VEV_5100,5100,170.0,170.00562046846926,-0.005620468469260231
1,2500,5251.5,0.32166189111747856,VEV_5200,5200,99.5,98.93227999955297,0.5677200004470251
1,2500,5251.5,0.32166189111747856,VEV_5300,5300,49.0,49.243629456357894,-0.24362945635789401
1,2500,5251.5,0.32166189111747856,VEV_5400,5400,18.0,20.505787729868644,-2.5057877298686435
1,2500,5251.5,0.32166189111747856,VEV_5500,5500,8.5,7.039186933702695,1.4608130662973053
1,2500,5251.5,0.32166189111747856,VEV_6000,6000,0.5,0.001632297804694427,0.4983677021953056
1,2500,5251.5,0.32166189111747856,VEV_6500,6500,0.5,3.5419994195780244e-09,0.4999999964580006
1,5000,5252.0,0.32166189111747856,VEV_4000,4000,1251.5,1252.0000000000005,-0.5000000000004547
1,5000,5252.0,0.32166189111747856,VEV_4500,4500,752.0,752.0000731723603,-7.317236031667562e-05
1,5000,5252.0,0.32166189111747856,VEV_5000,5000,258.0,257.5327944399214,0.4672055600785825
1,5000,5252.0,0.32166189111747856,VEV_5100,5100,170.5,170.41192946128376,0.08807053871623793
1,5000,5252.0,0.32166189111747856,VEV_5200,5200,99.5,99.24331476337011,0.25668523662989173
1,5000,5252.0,0.32166189111747856,VEV_5300,5300,49.0,49.44335677930758,-0.4433567793075781
1,5000,5252.0,0.32166189111747856,VEV_5400,5400,18.0,20.61029225057723,-2.6102922505772312
1,5000,5252.0,0.32166189111747856,VEV_5500,5500,8.5,7.083058532293194,1.4169414677068062
1,5000,5252.0,0.32166189111747856,VEV_6000,6000,0.5,0.0016527716027069372,0.49834722839729306
1,5000,5252.0,0.32166189111747856,VEV_6500,6500,0.5,3.6091756489290823e-09,0.4999999963908244
1,7500,5246.5,0.32166189111747856,VEV_4000,4000,1251.5,1246.5,5.0
1,7500,5246.5,0.32166189111747856,VEV_4500,4500,750.0,746.5000853461734,3.499914653826636
1,7500,5246.5,0.32166189111747856,VEV_5000,5000,254.0,252.42848297279943,1.5715170272005707
1,7500,5246.5,0.32166189111747856,VEV_5100,5100,166.5,165.96364074493295,0.5363592550670546
1,7500,5246.5,0.32166189111747856,VEV_5200,5200,97.0,95.85158641546195,1.1484135845380479
1,7500,5246.5,0.32166189111747856,VEV_5300,5300,47.5,47.27631682073911,0.2236831792608882
1,7500,5246.5,0.32166189111747856,VEV_5400,5400,17.0,19.482916358104603,-2.482916358104603
1,7500,5246.5,0.32166189111747856,VEV_5500,5500,7.5,6.612699428462804,0.887300571537196
1,7500,5246.5,0.32166189111747856,VEV_6000,6000,0.5,0.0014403283002061007,0.49855967169979387
1,7500,5246.5,0.32166189111747856,VEV_6500,6500,0.5,2.9337770348075782e-09,0.49999999706622295
1,10000,5245.5,0.3173925501432665,VEV_4000,4000,1244.5,1245.5,-1.0
1,10000,5245.5,0.3173925501432665,VEV_4500,4500,745.0,745.5000638683268,-0.5000638683268335
1,10000,5245.5,0.3173925501432665,VEV_5000,5000,251.0,251.17595815305685,-0.17595815305685392
1,10000,5245.5,0.3173925501432665,VEV_5100,5100,165.0,164.51246861360505,0.48753138639494864
1,10000,5245.5,0.3173925501432665,VEV_5200,5200,95.5,94.34191113975658,1.1580888602434243
1,10000,5245.5,0.3173925501432665,VEV_5300,5300,47.0,45.993204000492824,1.006795999507176
1,10000,5245.5,0.3173925501432665,VEV_5400,5400,16.5,18.632043120158528,-2.132043120158528
1,10000,5245.5,0.3173925501432665,VEV_5500,5500,7.5,6.178843467600132,1.3211565323998684
1,10000,5245.5,0.3173925501432665,VEV_6000,6000,0.5,0.001091502818784007,0.498908497181216
1,10000,5245.5,0.3173925501432665,VEV_6500,6500,0.5,1.5698051704632242e-09,0.4999999984301948
1,12500,5240.5,0.32166189111747856,VEV_4000,4000,1240.5,1240.4999999999995,4.547473508864641e-13
1,12500,5240.5,0.32166189111747856,VEV_4500,4500,740.0,740.5001008625286,-0.5001008625285976
1,12500,5240.5,0.32166189111747856,VEV_5000,5000,247.0,246.88757241826625,0.11242758173375478
1,12500,5240.5,0.32166189111747856,VEV_5100,5100,161.0,161.16492838965132,-0.1649283896513225
1,12500,5240.5,0.32166189111747856,VEV_5200,5200,92.5,92.22642193645288,0.2735780635471201
1,12500,5240.5,0.32166189111747856,VEV_5300,5300,45.0,44.9870670893863,0.012932910613699278
1,12500,5240.5,0.32166189111747856,VEV_5400,5400,16.0,18.30777480502377,-2.3077748050237687
1,12500,5240.5,0.32166189111747856,VEV_5500,5500,7.0,6.129422143797001,0.8705778562029991
1,12500,5240.5,0.32166189111747856,VEV_6000,6000,0.5,0.00123813053773425,0.49876186946226575
1,12500,5240.5,0.32166189111747856,VEV_6500,6500,0.5,2.3372098020348978e-09,0.4999999976627902
1,15000,5233.5,0.32166189111747856,VEV_4000,4000,1233.5,1233.4999999999995,4.547473508864641e-13
1,15000,5233.5,0.32166189111747856,VEV_4500,4500,733.5,733.5001224280413,-0.00012242804132256424
1,15000,5233.5,0.32166189111747856,VEV_5000,5000,241.0,240.46124646102908,0.5387535389709228
1,15000,5233.5,0.32166189111747856,VEV_5100,5100,156.0,155.63980665599593,0.3601933440040739
1,15000,5233.5,0.32166189111747856,VEV_5200,5200,88.5,88.09687404931447,0.4031259506855349
1,15000,5233.5,0.32166189111747856,VEV_5300,5300,42.5,42.41399169772626,0.0860083022737399
1,15000,5233.5,0.32166189111747856,VEV_5400,5400,14.5,17.006898878875745,-2.506898878875745
1,15000,5233.5,0.32166189111747856,VEV_5500,5500,6.5,5.603118410753268,0.8968815892467319
1,15000,5233.5,0.32166189111747856,VEV_6000,6000,0.5,0.001036201821192323,0.49896379817880765
1,15000,5233.5,0.32166189111747856,VEV_6500,6500,0.5,1.7896208668767217e-09,0.49999999821037916
1,17500,5232.5,0.32166189111747856,VEV_4000,4000,1232.5,1232.5,0.0
1,17500,5232.5,0.32166189111747856,VEV_4500,4500,732.5,732.500125851876,-0.0001258518759641447
1,17500,5232.5,0.32166189111747856,VEV_5000,5000,240.0,239.5466755287389,0.4533244712611122
1,17500,5232.5,0.32166189111747856,VEV_5100,5100,155.0,154.85709967683215,0.14290032316785073
1,17500,5232.5,0.32166189111747856,VEV_5200,5200,88.5,87.51577562367174,0.9842243763282568
1,17500,5232.5,0.32166189111747856,VEV_5300,5300,42.0,42.05493251876601,-0.0549325187660088
1,17500,5232.5,0.32166189111747856,VEV_5400,5400,14.5,16.82708632134984,-2.3270863213498387
1,17500,5232.5,0.32166189111747856,VEV_5500,5500,6.5,5.531110501829858,0.9688894981701424
1,17500,5232.5,0.32166189111747856,VEV_6000,6000,0.5,0.0010100399565505236,0.4989899600434495
1,17500,5232.5,0.32166189111747856,VEV_6500,6500,0.5,1.7223933173986938e-09,0.49999999827760666
1,20000,5227.0,0.32166189111747856,VEV_4000,4000,1227.0,1227.0,0.0
1,20000,5227.0,0.32166189111747856,VEV_4500,4500,727.0,727.0001464034922,-0.0001464034921809798
1,20000,5227.0,0.32166189111747856,VEV_5000,5000,235.0,234.53263397268165,0.46736602731834864
1,20000,5227.0,0.32166189111747856,VEV_5100,5100,151.0,150.58230884724844,0.41769115275155855
