participant,symbol,edge,edge_notional,qty,trades,side,horizon,edge_per_unit
Mark 01,VELVETFRUIT_EXTRACT,2.8346153846153848,3984.0,1417,260,buyer,100,2.811573747353564
Mark 01,VEV_5200,1.0,35.0,34,11,buyer,100,1.0294117647058822
Mark 01,VEV_5300,0.7916666666666666,350.0,439,132,buyer,100,0.7972665148063781
Mark 01,VEV_5400,0.564638783269962,517.5,911,263,buyer,100,0.5680570801317234
Mark 01,VEV_5500,0.5117056856187291,526.5,1042,299,buyer,100,0.505278310940499
Mark 01,VEV_6000,0.5,552.5,1105,317,buyer,100,0.5
Mark 01,VEV_6500,0.5,552.5,1105,317,buyer,100,0.5
Mark 14,HYDROGEL_PACK,8.172379032258064,16266.5,1989,496,buyer,100,8.17823026646556
Mark 14,VELVETFRUIT_EXTRACT,2.2436708860759493,3924.5,1761,316,buyer,100,2.228563316297558
Mark 14,VEV_4000,10.428879310344827,4772.5,458,232,buyer,100,10.420305676855895
Mark 14,VEV_5200,1.121212121212121,133.5,122,33,buyer,100,1.0942622950819672
Mark 14,VEV_5300,0.5,53.0,105,30,buyer,100,0.5047619047619047
Mark 14,VEV_5400,0.15384615384615385,6.0,48,13,buyer,100,0.125
Mark 14,VEV_5500,0.2857142857142857,7.0,27,7,buyer,100,0.25925925925925924
Mark 22,HYDROGEL_PACK,1.0,53.0,42,11,buyer,100,1.2619047619047619
Mark 22,VELVETFRUIT_EXTRACT,0.54,80.5,146,25,buyer,100,0.5513698630136986
Mark 22,VEV_4000,-0.5,-1.5,3,1,buyer,100,-0.5
Mark 22,VEV_4500,-0.5,-1.5,3,1,buyer,100,-0.5
Mark 22,VEV_5000,0.0,0.0,3,1,buyer,100,0.0
Mark 22,VEV_5100,0.0,0.0,3,1,buyer,100,0.0
Mark 22,VEV_5200,0.0,0.0,3,1,buyer,100,0.0
Mark 22,VEV_5300,0.0,0.0,3,1,buyer,100,0.0
Mark 38,HYDROGEL_PACK,-7.936893203883495,-16496.0,2065,515,buyer,100,-7.988377723970944
Mark 38,VEV_4000,-10.282296650717702,-4256.5,415,209,buyer,100,-10.256626506024096
